!
! This is a small development reaction network from UCLCHEM; it includes a minimal amount of species on the ices + UMIST 22 reactions.
! This reaction network has NOT been verified for anything scientific, so it comes with NO warranty on the correctness of the reaction network.
! Produced using UCLCHEM v3.5.1 on 30-07-2025 by Gijs Vermariën
! Notation of species (molecules) in UCLCHEM: @ is bulk of the ice (not so reactive), # is the surface of the ice (reactive) and no prefix is gas phase.
! Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Product 4,Alpha,Beta,Gamma,T_min,T_max,reduced_mass,extrapolate
O,CRPHOT,NAN,O+,E-,NAN,NAN,1.3e-17,0.0,1.35,10.0,41000.0,0.0,False
O2,CRPHOT,NAN,O2+,E-,NAN,NAN,1.3e-17,0.0,14.0,10.0,41000.0,0.0,False
O2,CRPHOT,NAN,O,O,NAN,NAN,1.3e-17,0.0,390.0,10.0,41000.0,0.0,False
O2+,CRPHOT,NAN,O+,O,NAN,NAN,1.3e-17,0.0,35.0,10.0,41000.0,0.0,False
OH,CRPHOT,NAN,O,H,NAN,NAN,1.3e-17,0.0,235.0,10.0,41000.0,0.0,False
OH+,CRPHOT,NAN,O+,H,NAN,NAN,1.3e-17,0.0,4.3,10.0,41000.0,0.0,False
#C,DESCR,NAN,C,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH,DESCR,NAN,CH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH2,DESCR,NAN,CH2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH3,DESCR,NAN,CH3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH4,DESCR,NAN,CH4,NAN,NAN,NAN,1.0,0.0,960.0,0.0,10000.0,0.0,False
#CH5,DESCR,NAN,CH5,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CO,DESCR,NAN,CO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H,DESCR,NAN,H,NAN,NAN,NAN,1.0,0.0,650.0,0.0,10000.0,0.0,False
#H2,DESCR,NAN,H2,NAN,NAN,NAN,1.0,0.0,440.0,0.0,10000.0,0.0,False
#H2O,DESCR,NAN,H2O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H3,DESCR,NAN,H3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H3O,DESCR,NAN,H3O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#HCO,DESCR,NAN,HCO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#HE,DESCR,NAN,HE,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#MG,DESCR,NAN,MG,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#O,DESCR,NAN,O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#O2,DESCR,NAN,O2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#OH,DESCR,NAN,OH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#C,DESOH2,NAN,C,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH,DESOH2,NAN,CH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH2,DESOH2,NAN,CH2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH3,DESOH2,NAN,CH3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH4,DESOH2,NAN,CH4,NAN,NAN,NAN,1.0,0.0,960.0,0.0,10000.0,0.0,False
#CH5,DESOH2,NAN,CH5,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CO,DESOH2,NAN,CO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H,DESOH2,NAN,H,NAN,NAN,NAN,1.0,0.0,650.0,0.0,10000.0,0.0,False
#H2,DESOH2,NAN,H2,NAN,NAN,NAN,1.0,0.0,440.0,0.0,10000.0,0.0,False
#H2O,DESOH2,NAN,H2O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H3,DESOH2,NAN,H3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H3O,DESOH2,NAN,H3O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#HCO,DESOH2,NAN,HCO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#HE,DESOH2,NAN,HE,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#MG,DESOH2,NAN,MG,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#O,DESOH2,NAN,O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#O2,DESOH2,NAN,O2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#OH,DESOH2,NAN,OH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#C,DEUVCR,NAN,C,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH,DEUVCR,NAN,CH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH2,DEUVCR,NAN,CH2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH3,DEUVCR,NAN,CH3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH4,DEUVCR,NAN,CH4,NAN,NAN,NAN,1.0,0.0,960.0,0.0,10000.0,0.0,False
#CH5,DEUVCR,NAN,CH5,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CO,DEUVCR,NAN,CO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H,DEUVCR,NAN,H,NAN,NAN,NAN,1.0,0.0,650.0,0.0,10000.0,0.0,False
#H2,DEUVCR,NAN,H2,NAN,NAN,NAN,1.0,0.0,440.0,0.0,10000.0,0.0,False
#H2O,DEUVCR,NAN,H2O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H3,DEUVCR,NAN,H3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H3O,DEUVCR,NAN,H3O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#HCO,DEUVCR,NAN,HCO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#HE,DEUVCR,NAN,HE,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#MG,DEUVCR,NAN,MG,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#O,DEUVCR,NAN,O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#O2,DEUVCR,NAN,O2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#OH,DEUVCR,NAN,OH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
H,#H,ER,#H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.5,False
H,#H,ERDES,H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.5,False
C,FREEZE,NAN,#C,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
C+,FREEZE,NAN,#C,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CH,FREEZE,NAN,#CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CH+,FREEZE,NAN,#CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CH2,FREEZE,NAN,#CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CH2+,FREEZE,NAN,#CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CH3,FREEZE,NAN,#CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CH3+,FREEZE,NAN,#CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CH4,FREEZE,NAN,#CH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CH4+,FREEZE,NAN,#CH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CH5,FREEZE,NAN,#CH5,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
CH5+,FREEZE,NAN,#CH5,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CO,FREEZE,NAN,#CO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
CO+,FREEZE,NAN,#CO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
E-,FREEZE,NAN,NAN,NAN,NAN,NAN,0.0,0.0,0.0,0.0,10000.0,0.0,False
H,FREEZE,NAN,#H,NAN,NAN,NAN,1.0,0.0,650.0,0.0,10000.0,0.0,False
H+,FREEZE,NAN,#H,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
H2,FREEZE,NAN,#H2,NAN,NAN,NAN,1.0,0.0,440.0,0.0,10000.0,0.0,False
H2+,FREEZE,NAN,#H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
H2O,FREEZE,NAN,#H2O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
H2O+,FREEZE,NAN,#H2O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
H3,FREEZE,NAN,#H3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
H3+,FREEZE,NAN,#H3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
H3O,FREEZE,NAN,#H3O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
H3O+,FREEZE,NAN,#H3O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
HCO,FREEZE,NAN,#HCO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
HCO+,FREEZE,NAN,#HCO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
HE,FREEZE,NAN,#HE,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
HE+,FREEZE,NAN,#HE,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
MG,FREEZE,NAN,#MG,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
MG+,FREEZE,NAN,#MG,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
O,FREEZE,NAN,#O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
O+,FREEZE,NAN,#O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
O2,FREEZE,NAN,#O2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
O2+,FREEZE,NAN,#O2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
OH,FREEZE,NAN,#OH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
OH+,FREEZE,NAN,#OH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
H,H,H2FORM,H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#H,#H,LH,#H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.5,False
#H,#C,LH,#CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
#H,#CH,LH,#CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
#H,#CH2,LH,#CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
#H,#CH3,LH,#CH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
@H,@H,LH,@H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.5,False
@H,@C,LH,@CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
@H,@CH,LH,@CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
@H,@CH2,LH,@CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
@H,@CH3,LH,@CH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
#H,#H,LHDES,H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.5,False
#H,#C,LHDES,CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
#H,#CH,LHDES,CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
#H,#CH2,LHDES,CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
#H,#CH3,LHDES,CH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
@H,@H,LHDES,H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.5,False
@H,@C,LHDES,CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
@H,@CH,LHDES,CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
@H,@CH2,LHDES,CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
@H,@CH3,LHDES,CH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,1.0,False
C,PHOTON,NAN,C+,E-,NAN,NAN,3.5e-10,0.0,3.76,10.0,41000.0,0.0,False
CH,PHOTON,NAN,C,H,NAN,NAN,9.19e-10,0.0,2.12,10.0,41000.0,0.0,False
CH,PHOTON,NAN,CH+,E-,NAN,NAN,7.64e-10,0.0,3.67,10.0,41000.0,0.0,False
CH+,PHOTON,NAN,C,H+,NAN,NAN,3.26e-10,0.0,3.54,10.0,41000.0,0.0,False
CH2,PHOTON,NAN,CH2+,E-,NAN,NAN,1e-09,0.0,2.3,10.0,41000.0,0.0,False
CH2,PHOTON,NAN,CH,H,NAN,NAN,5.81e-10,0.0,2.35,10.0,41000.0,0.0,False
CH2+,PHOTON,NAN,C+,H2,NAN,NAN,4.53e-11,0.0,2.73,10.0,41000.0,0.0,False
CH2+,PHOTON,NAN,CH+,H,NAN,NAN,4.53e-11,0.0,2.73,10.0,41000.0,0.0,False
CH2+,PHOTON,NAN,CH,H+,NAN,NAN,4.53e-11,0.0,2.73,10.0,41000.0,0.0,False
CH3,PHOTON,NAN,CH2,H,NAN,NAN,3.14e-10,0.0,2.5,10.0,41000.0,0.0,False
CH3,PHOTON,NAN,CH,H2,NAN,NAN,3.14e-10,0.0,2.5,10.0,41000.0,0.0,False
CH3,PHOTON,NAN,CH3+,E-,NAN,NAN,3.28e-10,0.0,3.36,10.0,41000.0,0.0,False
CH3+,PHOTON,NAN,CH+,H2,NAN,NAN,1e-09,0.0,1.7,10.0,41000.0,0.0,False
CH3+,PHOTON,NAN,CH2+,H,NAN,NAN,1e-09,0.0,1.7,10.0,41000.0,0.0,False
CH4,PHOTON,NAN,CH2,H2,NAN,NAN,1.06e-09,0.0,3.08,10.0,41000.0,0.0,False
CH4,PHOTON,NAN,CH3,H,NAN,NAN,2.28e-10,0.0,3.08,10.0,41000.0,0.0,False
CH4,PHOTON,NAN,CH,H2,H,NAN,2.28e-10,0.0,3.08,10.0,41000.0,0.0,False
CH4,PHOTON,NAN,CH4+,E-,NAN,NAN,1.03e-11,0.0,4.31,10.0,41000.0,0.0,False
CH4+,PHOTON,NAN,CH2+,H2,NAN,NAN,2.2e-10,0.0,3.11,10.0,41000.0,0.0,False
CH4+,PHOTON,NAN,CH3+,H,NAN,NAN,5.5e-11,0.0,3.11,10.0,41000.0,0.0,False
CO,PHOTON,NAN,O,C,NAN,NAN,2.4e-10,0.0,3.88,10.0,41000.0,0.0,False
CO+,PHOTON,NAN,C+,O,NAN,NAN,1.01e-10,0.0,2.89,10.0,41000.0,0.0,False
H2,PHOTON,NAN,H,H,NAN,NAN,1.0,1.0,0.0,0.0,10000.0,0.0,False
H2+,PHOTON,NAN,H+,H,NAN,NAN,5.72e-10,0.0,2.78,10.0,41000.0,0.0,False
H2O,PHOTON,NAN,H2O+,E-,NAN,NAN,2.71e-11,0.0,4.27,10.0,41000.0,0.0,False
H2O,PHOTON,NAN,OH,H,NAN,NAN,7.72e-10,0.0,2.63,10.0,41000.0,0.0,False
H2O+,PHOTON,NAN,OH+,H,NAN,NAN,1e-12,0.0,2.0,10.0,41000.0,0.0,False
HCO,PHOTON,NAN,CO,H,NAN,NAN,1.11e-09,0.0,2.43,10.0,41000.0,0.0,False
HCO,PHOTON,NAN,HCO+,E-,NAN,NAN,5.6e-10,0.0,2.1,10.0,41000.0,0.0,False
HCO+,PHOTON,NAN,CO+,H,NAN,NAN,5.39e-12,0.0,3.67,10.0,41000.0,0.0,False
MG,PHOTON,NAN,MG+,E-,NAN,NAN,6.59e-11,0.0,2.43,10.0,41000.0,0.0,False
O2,PHOTON,NAN,O2+,E-,NAN,NAN,5.1e-11,0.0,4.22,10.0,41000.0,0.0,False
O2,PHOTON,NAN,O,O,NAN,NAN,7.91e-10,0.0,2.45,10.0,41000.0,0.0,False
O2+,PHOTON,NAN,O+,O,NAN,NAN,3.46e-11,0.0,2.38,10.0,41000.0,0.0,False
OH,PHOTON,NAN,O,H,NAN,NAN,3.79e-10,0.0,2.66,10.0,41000.0,0.0,False
OH,PHOTON,NAN,OH+,E-,NAN,NAN,1.6e-12,0.0,3.1,10.0,41000.0,0.0,False
OH+,PHOTON,NAN,O+,H,NAN,NAN,1.08e-11,0.0,3.97,10.0,41000.0,0.0,False
#C,SURFSWAP,NAN,@C,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#CH,SURFSWAP,NAN,@CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#CH2,SURFSWAP,NAN,@CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#CH3,SURFSWAP,NAN,@CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#CH4,SURFSWAP,NAN,@CH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#CH5,SURFSWAP,NAN,@CH5,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#CO,SURFSWAP,NAN,@CO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#H,SURFSWAP,NAN,@H,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#H2O,SURFSWAP,NAN,@H2O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#H3,SURFSWAP,NAN,@H3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#H3O,SURFSWAP,NAN,@H3O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#HCO,SURFSWAP,NAN,@HCO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#HE,SURFSWAP,NAN,@HE,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#MG,SURFSWAP,NAN,@MG,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#O,SURFSWAP,NAN,@O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#O2,SURFSWAP,NAN,@O2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#OH,SURFSWAP,NAN,@OH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#C,THERM,NAN,C,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH,THERM,NAN,CH,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH2,THERM,NAN,CH2,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH3,THERM,NAN,CH3,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CH4,THERM,NAN,CH4,NAN,NAN,NAN,1.0,0.0,960.0,0.0,10000.0,0.0,False
#CH5,THERM,NAN,CH5,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#CO,THERM,NAN,CO,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
#H,THERM,NAN,H,NAN,NAN,NAN,1.0,0.0,650.0,0.0,10000.0,0.0,False
#H2,THERM,NAN,H2,NAN,NAN,NAN,1.0,0.0,440.0,0.0,10000.0,0.0,False
#H2O,THERM,NAN,H2O,NAN,NAN,NAN,1.0,0.0,5600.0,0.0,10000.0,0.0,False
